zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
10456,3498.0,2682.0,1459.0,733.0,1134.0,2232.0,3981.0,2754.0,3565.0,1935.0,3497.0,3506.0,2444.0,2200.0,946.0,942.0,447.0,875.0,1244.0,242.0,287.0,334.0,49804.0,42064.0,91868.0,3625.0
10457,2665.0,1920.0,1571.0,443.0,687.0,1757.0,3401.0,2157.0,2783.0,2021.0,2536.0,2891.0,2295.0,1773.0,572.0,495.0,291.0,772.0,803.0,498.0,242.0,185.0,39549.0,34214.0,73763.0,3339.0
10458,3125.0,1810.0,1933.0,1202.0,874.0,2672.0,3438.0,2900.0,2993.0,2552.0,2564.0,2765.0,2243.0,1774.0,810.0,953.0,505.0,758.0,1104.0,379.0,168.0,186.0,41402.0,38572.0,79974.0,3179.0
10459,2066.0,1278.0,818.0,726.0,421.0,1367.0,1962.0,1293.0,1744.0,1175.0,1997.0,1714.0,1253.0,1159.0,297.0,656.0,289.0,601.0,556.0,438.0,216.0,143.0,25312.0,22466.0,47778.0,2187.0
10460,2192.0,1607.0,988.0,394.0,293.0,1497.0,2565.0,1693.0,1964.0,1154.0,2490.0,2175.0,1767.0,1243.0,573.0,615.0,344.0,591.0,998.0,467.0,125.0,98.0,32212.0,27300.0,59512.0,2346.0
10461,1714.0,803.0,525.0,437.0,308.0,1083.0,1942.0,2172.0,1882.0,1922.0,1676.0,1452.0,1917.0,1541.0,591.0,322.0,414.0,556.0,848.0,470.0,464.0,488.0,26679.0,25141.0,51820.0,1602.0
10462,2421.0,1158.0,652.0,715.0,356.0,1583.0,3701.0,3183.0,3164.0,2868.0,2367.0,2638.0,2912.0,2176.0,936.0,946.0,617.0,1008.0,1244.0,685.0,469.0,225.0,41902.0,36602.0,78504.0,2833.0
10463,2227.0,1131.0,544.0,524.0,458.0,946.0,2959.0,3004.0,2683.0,2307.0,2541.0,1923.0,1719.0,2021.0,882.0,828.0,841.0,1188.0,1403.0,897.0,644.0,571.0,37644.0,34337.0,71981.0,2209.0
10464,186.0,59.0,69.0,0.0,104.0,153.0,54.0,157.0,192.0,133.0,181.0,95.0,240.0,117.0,136.0,56.0,73.0,33.0,125.0,62.0,0.0,30.0,2651.0,2072.0,4723.0,151.0
10465,1498.0,818.0,679.0,310.0,506.0,992.0,1420.0,1138.0,1542.0,1401.0,1661.0,1325.0,1496.0,1621.0,699.0,815.0,456.0,724.0,875.0,760.0,387.0,254.0,23771.0,22068.0,45839.0,1318.0
10466,2348.0,1559.0,904.0,575.0,657.0,1749.0,2881.0,2081.0,2493.0,2055.0,2800.0,2266.0,2433.0,1892.0,851.0,885.0,483.0,1002.0,1308.0,536.0,429.0,205.0,38790.0,32348.0,71138.0,2489.0
10467,3533.0,2207.0,1150.0,865.0,987.0,2189.0,4399.0,3411.0,3530.0,3139.0,3456.0,3465.0,3042.0,2373.0,1293.0,1320.0,532.0,1236.0,1377.0,748.0,482.0,502.0,52550.0,48584.0,101134.0,4252.0
10468,2637.0,1526.0,921.0,792.0,529.0,2015.0,2953.0,3001.0,2422.0,2356.0,2791.0,2772.0,2110.0,1847.0,852.0,723.0,307.0,751.0,1201.0,459.0,344.0,275.0,38536.0,35101.0,73637.0,2825.0
