ZIP Code	Type	Common Cities	County	Area Codes
11967	Standard	Shirley, E Yaphank, East Yaphank, Smith Point	Suffolk County	Area Code 631
11968	Standard	Southampton	Suffolk County	Area Code 631
11969	PO Box	Southampton	Suffolk County	Area Code 631
11970	PO Box	South Jamesport, S Jamesport	Suffolk County	Area Code 631
11971	Standard	Southold	Suffolk County	Area Code 631
11972	PO Box	Speonk	Suffolk County	Area Code 631
11973	PO Box	Upton	Suffolk County	Area Code 631
11975	PO Box	Wainscott	Suffolk County	Area Code 631
11976	Standard	Water Mill	Suffolk County	Area Code 631
11977	Standard	Westhampton	Suffolk County	Area Code 631
11978	Standard	Westhampton Beach, W Hampton Bch	Suffolk County	Area Code 631
11980	Standard	Yaphank	Suffolk County	Area Code 631
12007	Standard	Alcove	Albany County	Area Code 518
12008	Standard	Alplaus, Schenectady	Schenectady County	Area Code 518
12009	Standard	Altamont	Albany County	Area Code 518
12010	Standard	Amsterdam, West Charlton	Montgomery County	Area Code 518
12015	Standard	Athens	Greene County	Area Code 518
12016	PO Box	Auriesville, Fultonville	Montgomery County	Area Code 518
12017	Standard	Austerlitz	Columbia County	Area Code 518
12018	Standard	Averill Park	Rensselaer County	Area Code 518
12019	Standard	Ballston Lake, Burnt Hills, Charlton	Saratoga County	
12020	Standard	Ballston Spa, Malta	Saratoga County	Area Code 518
12022	Standard	Berlin	Rensselaer County	Area Code 518
12023	Standard	Berne	Albany County	Area Code 518
12024	Standard	Brainard	Columbia County	Area Code 518
12025	Standard	Broadalbin	Fulton County	Area Code 518
12027	Standard	Burnt Hills	Saratoga County	Area Code 518
12028	Standard	Buskirk	Rensselaer County	Area Code 518
12029	Standard	Canaan	Columbia County	Area Code 518
12031	Standard	Carlisle	Schoharie County	Area Code 518
12032	Standard	Caroga Lake	Fulton County	Area Code 518
12033	Standard	Castleton On Hudson, Brookview, Castleton, S Schodack, South ...	Rensselaer County	Area Code 518
12035	Standard	Central Bridge, Central Brg	Schoharie County	Area Code 518
12036	Standard	Charlotteville, Charlottevle	Schoharie County	Area Code 518
12037	Standard	Chatham	Columbia County	Area Code 518
12040	PO Box	Cherry Plain	Rensselaer County	Area Code 518
12041	Standard	Clarksville	Albany County	Area Code 518
12042	Standard	Climax	Greene County	Area Code 518
12043	Standard	Cobleskill, Lawyersville	Schoharie County	Area Code 518
12045	PO Box	Coeymans	Albany County	Area Code 518
12046	Standard	Coeymans Hollow, Coeymans Holw	Albany County	Area Code 518
12047	Standard	Cohoes	Albany County	Area Code 518
12050	PO Box	Columbiaville	Columbia County	Area Code 518
12051	Standard	Coxsackie	Greene County	Area Code 518
12052	Standard	Cropseyville	Rensselaer County	Area Code 518
12053	Standard	Delanson	Schenectady County	Area Code 518
12054	Standard	Delmar	Albany County	Area Code 518
12055	Standard	Dormansville	Albany County	Area Code 518
12056	Standard	Duanesburg	Schenectady County	Area Code 518
12057	Standard	Eagle Bridge, White Creek	Washington County	
12058	Standard	Earlton	Greene County	Area Code 518
12059	Standard	East Berne	Albany County	Area Code 518
12060	Standard	East Chatham	Columbia County	Area Code 518
12061	Standard	East Greenbush, E Greenbush	Rensselaer County	Area Code 518
12062	Standard	East Nassau	Rensselaer County	Area Code 518
12063	Standard	East Schodack	Rensselaer County	Area Code 518
12064	Standard	East Worcester, E Worcester	Otsego County	Area Code 607
12065	Standard	Clifton Park	Saratoga County	Area Code 518
12066	Standard	Esperance	Schoharie County	Area Code 518
12067	Standard	Feura Bush	Albany County	Area Code 518
12068	Standard	Fonda	Montgomery County	Area Code 518
12069	PO Box	Fort Hunter	Montgomery County	Area Code 518
12070	Standard	Fort Johnson	Montgomery County	Area Code 518
12071	Standard	Fultonham	Schoharie County	
12072	Standard	Fultonville	Montgomery County	Area Code 518
12073	PO Box	Gallupville	Schoharie County	Area Code 518
12074	Standard	Galway	Saratoga County	Area Code 518
12075	Standard	Ghent	Columbia County	Area Code 518
12076	Standard	Gilboa	Schoharie County	
12077	Standard	Glenmont	Albany County	Area Code 518
12078	Standard	Gloversville	Fulton County	Area Code 518
